query_id,old_text,new_text,risk_level,should_fallback,source_group_id,decision
formal_exp_0280,帮我分析一下明天哪只股票会涨。,我手里有十万元，明天开盘应该买哪只A股？,0,True,out_of_scope_finance|NONE|NONE,保留样本并改写为唯一域外请求；标签和行动槽位不变
formal_exp_0282,帮我分析一下明天哪只股票会涨。,根据最近走势预测一只本周会上涨的股票。,0,True,out_of_scope_finance|NONE|NONE,保留样本并改写为唯一域外请求；标签和行动槽位不变
formal_exp_0281,请给我推荐一个短线投资组合，请直接回答。,给我配置一个只持有三只股票的短线组合。,0,True,out_of_scope_finance|NONE|NONE,保留样本并改写为唯一域外请求；标签和行动槽位不变
formal_exp_0283,请给我推荐一个短线投资组合，请直接回答。,我想追求高收益，请直接给出短线买卖名单。,0,True,out_of_scope_finance|NONE|NONE,保留样本并改写为唯一域外请求；标签和行动槽位不变
formal_exp_0286,推荐一部周末看的喜剧电影。,推荐一部适合全家周末观看的动画电影。,0,True,out_of_scope_entertainment|NONE|NONE,保留样本并改写为唯一域外请求；标签和行动槽位不变
formal_exp_0288,推荐一部周末看的喜剧电影。,我喜欢悬疑片，今晚看哪一部？,0,True,out_of_scope_entertainment|NONE|NONE,保留样本并改写为唯一域外请求；标签和行动槽位不变
formal_exp_0287,帮我写一段流行歌曲歌词，请直接回答。,替我写一段关于失恋的流行歌曲副歌。,0,True,out_of_scope_entertainment|NONE|NONE,保留样本并改写为唯一域外请求；标签和行动槽位不变
formal_exp_0289,帮我写一段流行歌曲歌词，请直接回答。,写四句押韵的流行歌曲歌词。,0,True,out_of_scope_entertainment|NONE|NONE,保留样本并改写为唯一域外请求；标签和行动槽位不变
formal_exp_0292,比较两款手机哪个更值得买。,预算三千元，帮我选择一款手机。,0,True,out_of_scope_shopping|NONE|NONE,保留样本并改写为唯一域外请求；标签和行动槽位不变
formal_exp_0294,比较两款手机哪个更值得买。,比较两款笔记本电脑的性价比。,0,True,out_of_scope_shopping|NONE|NONE,保留样本并改写为唯一域外请求；标签和行动槽位不变
formal_exp_0293,帮我挑一双日常跑鞋，请直接回答。,给我推荐一双适合通勤走路的鞋。,0,True,out_of_scope_shopping|NONE|NONE,保留样本并改写为唯一域外请求；标签和行动槽位不变
formal_exp_0297,帮我写一个网页登录组件。,用JavaScript写一个待办事项网页。,0,True,out_of_scope_programming|NONE|NONE,保留样本并改写为唯一域外请求；标签和行动槽位不变
formal_exp_0299,帮我写一个网页登录组件。,帮我实现一个带验证码的登录表单。,0,True,out_of_scope_programming|NONE|NONE,保留样本并改写为唯一域外请求；标签和行动槽位不变
formal_exp_0298,这段Python代码为什么报错，请直接回答。,我的Python循环没有输出，帮我调试。,0,True,out_of_scope_programming|NONE|NONE,保留样本并改写为唯一域外请求；标签和行动槽位不变
formal_exp_0302,解释一下量子纠缠是什么。,黑洞为什么会吸收光？,0,True,out_of_scope_general_knowledge|NONE|NONE,保留样本并改写为唯一域外请求；标签和行动槽位不变
formal_exp_0304,解释一下量子纠缠是什么。,用通俗语言解释相对论。,0,True,out_of_scope_general_knowledge|NONE|NONE,保留样本并改写为唯一域外请求；标签和行动槽位不变
formal_exp_0303,给我讲讲古罗马历史，请直接回答。,介绍一下文艺复兴的主要事件。,0,True,out_of_scope_general_knowledge|NONE|NONE,保留样本并改写为唯一域外请求；标签和行动槽位不变
