relative_path,size_bytes,sha256
1_Pooling/config.json,190,aaa8861589f80c961a03cc86c7eeaef7605c1676b9ab55329d33a304738769c6
config.json,776,3853a7979202c348751b753e36f579c41d8da7d36af617d3d907e1fc9b441f2a
config_sentence_transformers.json,124,940d5f50db195fa6e5e6a4f122c095f77880de259d74b14a65779ed48bdd7c56
model.safetensors,95827648,354763b9b1357bc9c44f62c6be2276321081ed2567773608c0d0785b61d5a026
modules.json,349,84e40c8e006c9b1d6c122e02cba9b02458120b5fb0c87b746c41e0207cf642cf
README.md,27670,c48a4eeea77f6b1d38b48ec1c5b8d4f86d5550cc43fa345a0db1b2ca1d082369
sentence_bert_config.json,52,84e39fda68ccbff05bfa723ae9c0e70e23e2ec373b76e0f8c6e71af72a693cbf
special_tokens_map.json,125,b6d346be366a7d1d48332dbc9fdf3bf8960b5d879522b7799ddba59e76237ee3
tokenizer.json,439125,48cea5d44424912a6fd1ea647bf4fe50b55ab8b1e5879c3275f80e339e8fae26
tokenizer_config.json,367,e6f3b96db926a37d4039995fbf5ad17de158dfb8f6343d607e4dbaad18d75f5a
vocab.txt,109540,45bbac6b341c319adc98a532532882e91a9cefc0329aa57bac9ae761c27b291c
